SignID,Sign Class,Sub Class,Color,Background Color,Legend Color,MUTCD Number,Orientation,Overall Cond,Shape,Sign Backing Material,Sign Sheeting,Sign Legend,Sign Height,Sign Length,Sign Width,Replace Year,Pole#,Alt Sign ID,Sign Rec #,X Coordinate,Y Coordinate
3000007,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,NPTSOS,82,18,12,2012,12894,1668,5460,1016124.752,1260290.824
3000008,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPTSOS,97,18,12,2014,16357,1669,5722,1031588.427,1246260.659
3000009,Warning,Turn and Curve,Y,Yellow,Black,W1-2R,SW,Good,Diamond,Aluminum,HIP,CURVE RIGHT,0,30,30,2020,15288,1670,8630,1015401.882,1257715.921
3000012,Regulatory,,WHT,,,,SW,Good,,Aluminum,HIP,NPTSOS,94,18,12,2013,15043,1671,5820,1016390.855,1249658.151
3000013,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPTSOS,93,18,12,2014,10395,1672,5070,1020186.243,1250753.207
3000014,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPTSOS,88,18,12,2014,10654,1673,7620,1020186.243,1250753.207
3000016,Regulatory,Traffic Flow,WHT,Red,White,R1-1,N,Fair,Octagon,Aluminum,HIP,STOP,0,30,30,2024,10028,1674,2458,1019019.997,1254853.297
3000017,Directional,,Other,,,,S,Good,,Other,,W ANTHONY DR,0,10,0,,13911,1675,1370,1026669.66,1249965.534
3000018,Directional,,Other,,,,W,Good,,Other,,NORTH SHORE DR,0,10,0,,13911,1676,396,1026669.66,1249965.534
3000019,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,89,18,12,2014,15858,1677,6914,1026669.66,1249965.534
3000020,Warning,Turn and Curve,Y,Yellow,Black,W1-2R,E,Good,Diamond,Aluminum,Engineering,CURVE RIGHT,0,30,30,2018,12011,1678,8636,1013519.076,1256620.283
3000023,Regulatory,,Y,,,,W,Good,,Aluminum,HIP,NPTSOS,64,18,12,2017,9315,1679,6818,1013519.076,1256620.283
3000024,Regulatory,,WHT,,,,SW,Good,,Aluminum,HIP,NPTSOS,92,18,12,2013,9161,1680,6422,1020238.638,1251045.731
3000025,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPTSOS,95,18,12,2014,17002,1681,7438,1018337.624,1253089.309
3000026,Directional,,WHT,,,,N,Good,,Aluminum,HIP,W ANTHONY DR,102,6,36,2029,11492,1682,1040,1017998.097,1256557.002
3000027,Directional,,WHT,,,,W,Good,,Aluminum,HIP,N LINCOLN AV,102,10,4,2020,11492,1683,813,1017998.097,1256557.002
3000030,Regulatory,,WHT,,,,NW,Good,,Aluminum,HIP,NPTSOS,93,18,12,2014,16827,1684,7448,1020523.799,1252473.167
3000031,Regulatory,,WHT,,,,NW,Good,,Aluminum,HIP,NPTSOS,92,18,12,2014,15968,1685,7571,1022099.394,1253461.069
3000032,Regulatory,,WHT,,,,NW,Good,,Aluminum,HIP,NPTSOS,93,18,12,2014,15224,1686,7039,1022155.048,1255346.547
3000033,Regulatory,,WHT,,,,NW,Good,,Aluminum,HIP,NPTSOS,81,18,12,2014,17033,1687,7616,1017886.716,1252707.475
3000034,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPTSOS,92,18,12,2014,15296,1688,7144,1013916.834,1258105.318
3000036,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,80,18,12,2014,16953,1689,5348,1013916.834,1258105.318
3000037,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,80,18,12,2014,16306,1690,7505,1018828.363,1252090.225
3000038,Regulatory,,WHT,,,,SE,Good,,Aluminum,HIP,NPTSOS,78,18,12,2013,15878,1691,5448,1018828.363,1252090.225
3000039,Regulatory,,WHT,,,,SE,Good,,Aluminum,HIP,NPTSOS,93,18,12,2013,16046,1692,5034,1018828.363,1252090.225
3000041,Regulatory,,WHT,,,,SE,Good,,Aluminum,HIP,NPTSOS,93,18,12,2013,9584,1693,6745,1018828.363,1252090.225
3000042,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,84,18,12,2014,9320,1694,5029,1028909.023,1254363.189
3000043,Regulatory,Traffic Flow,WHT,Red,White,R1-1,E,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2018,14333,1695,2709,1028909.023,1254363.189
3000045,Informational,Bicycle Traffic,Other,Green,White,D1-1c,S,Good,Rectangle,Other,,BICYCLE DESTINATION AND ARROW AND DISTANCE (1 LINE),0,0,6,,11229,1696,250,1018683.7,1253003.078
3000046,Regulatory,,WHT,,,,NE,Good,,Aluminum,HIP,NPTSOS,82,18,12,2014,11424,1698,6385,1021380.506,1251024.666
3000047,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,90,18,12,2014,11775,1699,6733,1018918.354,1246119.328
3000048,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,92,18,12,2014,10907,1700,5390,1016591.066,1251691.093
3000052,Regulatory,,WHT,,,,NE,Good,,Aluminum,HIP,NPTSOS,90,18,12,2014,16015,1701,6521,1016591.066,1251691.093
3000053,Warning,Turn and Curve,Other,Yellow,Black,W1-2R,NE,Good,Diamond,Other,,CURVE RIGHT,0,30,30,,16116,1702,8632,1022725.376,1253438.041
3000054,Warning,,Y,,,,NE,Good,,Aluminum,HIP,30 m.p.h.,55,18,18,2024,16116,1703,8660,1016936.642,1254245.446
3000055,Regulatory,,WHT,,,,NE,Good,,Aluminum,HIP,NPTSOS,92,18,12,2014,16370,1704,6970,1017414.471,1252031.636
3000056,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,90,18,12,2014,14825,1705,4947,1019478.077,1253160.614
3000058,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,89,18,12,2014,12581,1706,4987,1019478.077,1253160.614
3000059,Regulatory,Traffic Flow,WHT,Red,White,R1-1,E,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2018,14390,1707,2819,1019478.077,1253160.614
3000060,Directional,,Other,,,,S,Good,,Other,,W ANTHONY DR,0,10,0,,11728,1708,1444,1019478.077,1253160.614
3000061,Directional,,Other,,,,E,Good,,Other,,N OAK ST,0,10,0,,11728,1709,1077,1019478.077,1253160.614
3000063,Warning,,Y,,,,NW,Good,,Aluminum,HIP,Dumping prohibited,60,18,24,2018,13120,1710,9250,1019478.077,1253160.614
3000064,Warning,,Y,,,,NW,Good,,Aluminum,HIP,Dumping Prohibited,84,18,24,2018,11233,1711,9245,1013953.109,1258718.512
3000066,Warning,,Other,,,,S,Good,,Other,,,0,0,0,,10023,1713,9277,1019556.89,1254937.773
3000067,Regulatory,,Other,,,,S,Good,,Other,,,0,30,24,,10023,1712,3647,1024923.612,1244545.239
3000069,Regulatory,Traffic Flow,Other,Red,White,R1-1,N,Good,Octagon,Other,,STOP,0,30,30,,15138,1714,2831,1019089.734,1253353.215
3000072,Warning,,Y,,,,SE,Good,,Aluminum,HIP,DumpingProhibited violators will be prosecuted ! f,90,18,24,2016,13934,1715,9253,1014803.647,1258183.722
3000074,Warning,,Y,,,,SE,Good,,Aluminum,HIP,Dumping prohibited,79,18,24,2016,12823,1716,9242,1021160.359,1254949.671
3000075,Regulatory,Traffic Flow,WHT,Red,White,R1-1,N,Critical,Octagon,Aluminum,HIP,STOP,0,30,30,2024,12932,1717,3096,1021160.359,1254949.671
3000076,Warning,,Y,,,,SE,Good,,Aluminum,HIP,Dumping Prohibited,75,18,24,2020,16835,1718,9249,1025049.487,1260443.314
3000077,Warning,Turn and Curve,Y,Yellow,Black,W1-1L,E,Good,Diamond,Aluminum,HIP,TURN,0,30,30,2021,16724,1719,8605,1021536.21,1254635.562
3000081,Warning,Turn and Curve,Y,Yellow,Black,W1-2R,NE,Good,Diamond,Aluminum,HIP,CURVE RIGHT,0,30,30,2024,13757,1720,8634,1015680.921,1257321.015
3000082,Warning,,Y,,,,NE,Good,,Aluminum,HIP,15 mph,47,18,18,2024,13757,1721,8641,1020146.315,1253523.494
3000089,Directional,,Other,,,,N,Good,,Other,,W SALINE CT,0,10,0,,15244,1722,355,1017543.801,1251078.735
3000090,Directional,,Other,,,,E,Good,,Other,,N LINCOLN AV,0,10,0,,15244,1723,610,1017543.801,1251078.735
3000091,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPTSOS,85,18,12,2014,16148,1724,7413,1023574.449,1252463.085
3000093,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,NPTSOS,86,18,12,2012,14336,1725,6056,1022975.751,1248924.944
3000094,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,NPTSOS,77,18,12,2015,12401,1726,6923,1022441.461,1254008.85
3000098,Regulatory,Selective Exclusion,Other,Red,White,R5-1,W,Good,Square,Other,,DO NOT ENTER,0,30,30,,9703,1729,4168,1018887.567,1250047.088
3000099,Regulatory,Selective Exclusion,Other,Red,White,R5-1,W,Good,Square,Other,,DO NOT ENTER,0,30,30,,11637,1730,4147,1021479.14,1259666.674
3000111,Regulatory,Traffic Signal,Other,White,Black,R10-5,S,Good,Rectangle,Other,,LEFT ON GREEN ARROW ONLY,0,30,36,,11456,1739,2269,1021479.14,1259666.674
3000112,Other,,WHT,,,,S,Good,,Aluminum,HIP,"FRONTAGE, ROAD, ENTRANCE",67,30,30,2020,10101,1742,8426,1017848.722,1253645.711
3000115,Regulatory,Lane Use Control,WHT,White,Black,R3-9b,S,Good,Rectangle,Aluminum,HIP,TWO-WAY LEFT TURN ONLY (POST-MOUNTED),0,24,36,2020,13225,1743,4107,1022045.608,1249123.808
3000116,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,NPTSOS,66,18,12,2012,13225,1744,6347,1014347.35,1258746.016
3000118,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,Speed limit 40,103,30,24,2020,17123,1746,3867,1030339.122,1244597.937
3000119,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,NPTSOS,84,18,12,2012,17123,1747,7538,1030339.122,1244597.937
3000121,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,NPTSOS,84,18,12,2012,16508,1749,6089,1031861.862,1255290.873
3000125,Regulatory,,WHT,,,,S,Fair,,Aluminum,HIP,NPTSOS,84,18,12,2012,16125,1752,4950,1018366.539,1253720.614
3000132,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,No thru truck traffic,83,30,24,2020,15192,1755,4859,1022536.269,1255069.225
3000133,Regulatory,,WHT,,,,SW,Good,,Aluminum,HIP,No thru truck traffic,78,30,24,2017,12492,1756,4861,1017233.389,1253915.573
3000134,Warning,Turn and Curve,Y,Yellow,Black,W1-1R,SW,Good,Diamond,Aluminum,HIP,TURN,0,30,30,2020,10149,1757,8610,1018966.803,1241915.511
3000142,Regulatory,,WHT,,,,NW,Good,,Aluminum,HIP,NPTSOS,80,18,12,2014,10308,1758,6304,1015980.798,1265026.553
3000145,Directional,,Other,,,,NE,Good,,Other,,SOMER DR,0,10,0,,12221,1759,1125,1027400.698,1251996.487
3000146,Directional,,Other,,,,SE,Good,,Other,,N LINCOLN AV,0,10,0,,12221,1760,1524,1027400.698,1251996.487
3000147,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPAT,78,18,12,2014,13292,1761,6029,1018170.197,1250630.572
3000148,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPAT,76,18,12,2014,12870,1762,5479,1018170.197,1250630.572
3000150,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,NPAT,75,18,12,2014,10307,1763,5186,1022674.057,1245370.247
3000151,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPAT,81,18,12,2014,11367,1764,6498,1022674.057,1245370.247
3000152,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPAT,77,18,12,2014,14474,1765,5854,1020243.769,1246083.073
3000164,Directional,,Other,,,,SE,Good,,Other,,N LINCOLN AV,0,10,0,,10326,1766,1483,1020243.769,1246083.073
3000165,Directional,,Other,,,,NE,Good,,Other,,W WILBUR RD,0,10,0,,10326,1767,879,1014549.347,1254976.719
3000167,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,,83,18,12,2014,9606,1768,6875,1014549.347,1254976.719
3000168,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,NPTSOS,83,18,12,2014,9606,1769,6904,1025577.946,1252395.811
3000170,Regulatory,Traffic Flow,WHT,Red,White,R1-1,W,Fair,Octagon,Aluminum,HIP,STOP,0,30,30,2017,11330,1770,3114,1020553.743,1252464.188
3000171,Warning,Dead End,Y,Yellow,Black,W14-2,NW,Good,Diamond,Aluminum,HIP,NO OUTLET,0,30,30,2024,11330,1771,8748,1030246.435,1244591.409
3000172,Regulatory,,WHT,,,,NW,Good,,Aluminum,Other,Speed limit 40,84,36,30,,9249,1772,3861,1030246.435,1244591.409
3000174,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,NPTSOS,86,18,12,2012,14678,1773,6886,1030246.435,1244591.409
3000176,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,NPTSOS,86,18,12,2015,8905,1775,6988,1022724.818,1255466.128
3000178,Regulatory,Lane Use Control,WHT,White,Black,R3-9b,N,Good,Rectangle,Aluminum,HIP,TWO-WAY LEFT TURN ONLY (POST-MOUNTED),0,24,36,2027,10730,1777,4096,1022724.818,1255466.128
3000179,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,NPTSOS,66,18,12,2015,10730,1778,4984,1016211.568,1252733.221
3000181,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,NPTSOS,89,18,12,2015,17012,1780,6835,1013717.922,1258747.943
3000182,Warning,Traffic Flow,Y,Yellow,Black,W6-1,N,Good,Diamond,Aluminum,HIP,DIVIDED HIGHWAY,0,36,36,2027,17067,1782,9234,1013717.922,1258747.943
3000184,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,NPTSOS,98,18,12,2015,10923,1783,5423,1024234.478,1244742.909
3000188,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,NPTSOS,70,18,12,2015,11221,1785,6511,1024234.478,1244742.909
3000197,Regulatory,Traffic Signal,Other,White,Black,R10-5,SE,Fair,Rectangle,Other,,LEFT ON GREEN ARROW ONLY,0,30,36,,12420,1792,2268,1024234.478,1244742.909
3000205,Regulatory,Lane Use Control,Other,White,Black,R4-7b,S,Good,Rectangle,Other,,KEEP RIGHT WITH OBLIQUE ARROW,0,24,30,,10167,1802,4137,1016131.254,1267898.896
3000209,Regulatory,One Way,Other,White,Black,R6-1R,E,Good,Rectangle,Other,,ONE WAY ENCLOSED IN RIGHT ARROW,0,36,12,,9776,1803,4186,1016131.254,1267898.896
3000210,Regulatory,One Way,Other,White,Black,R6-1L,N,Good,Rectangle,Other,,ONE WAY ENCLOSED IN LEFT ARROW,0,36,12,,16698,1804,4179,1017483.498,1249995.521
3000211,Regulatory,One Way,Other,White,Black,R6-1R,S,Good,Rectangle,Other,,ONE WAY ENCLOSED IN RIGHT ARROW,0,36,12,,16698,1805,4193,1014768.595,1258563.319
3000212,Warning,Dead End,Other,Yellow,Black,W14-2,N,Good,Diamond,Other,,NO OUTLET,0,30,30,,16106,1806,8738,1014768.595,1258563.319
3000214,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,nphtc,82,18,12,2017,10800,1808,6540,1014768.595,1258563.319
3000215,Regulatory,Traffic Flow,WHT,Red,White,R1-1,S,Fair,Octagon,Aluminum,HIP,STOP,0,30,30,2017,15245,1809,2834,1020635.357,1254316.251
3000217,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,nphtc,97,18,12,2024,15734,1810,5767,1018615.331,1272404.056
3000219,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,92,18,12,2017,14289,1813,5785,1018615.331,1272404.056
3000221,Directional,,Other,,,,N,Good,,Other,,W STOUGHTON ST,0,10,0,,12308,1814,1441,1022814.299,1247606.706
3000223,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,92,18,12,2017,11724,1816,6301,1022814.299,1247606.706
3000225,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,82,18,12,2017,12574,1818,6724,1022814.299,1247606.706
3000226,Regulatory,Traffic Flow,WHT,Red,White,R1-1,W,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2017,9234,1819,3305,1022828.903,1250967.411
3000228,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nptsos,57,18,12,2017,12868,1820,5453,1024189.851,1248180.095
3000229,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,84,18,12,2018,12135,1822,4900,1016640.067,1250977.164
3000230,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,86,18,12,2018,11289,1823,4917,1016640.067,1250977.164
3000231,Regulatory,,WHT,,,,S,Fair,,Aluminum,HIP,nphtc,80,18,12,2017,10987,1824,6648,1023020.248,1248683.479
3000232,Regulatory,,WHT,,,,S,Good,,Aluminum,HIP,nphtc,76,18,12,2017,16060,1825,6779,1023303.299,1248463.023
3000233,Regulatory,Traffic Flow,WHT,Red,White,R1-1,S,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2017,11487,1826,2321,1023303.299,1248463.023
3000235,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,84,18,12,2017,10835,1828,5898,1023303.299,1248463.023
3000236,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,88,18,12,2017,10182,1829,6782,1023303.299,1248463.023
3000238,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,82,18,12,2017,8762,1831,7046,1019981.889,1249772.06
3000239,Regulatory,,WHT,,,,W,Good,,Aluminum,HIP,nphtc,91,18,12,2017,16756,1832,6443,1026091.46,1256121.646
3000241,Regulatory,Traffic Flow,WHT,Red,White,R1-1,W,Critical,Octagon,Aluminum,HIP,STOP,0,30,30,2019,16785,1834,2956,1017980.551,1252761.05
3000243,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,57,18,12,2018,9882,1835,7107,1018829.102,1252153.91
3000245,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,48,18,12,2018,16065,1837,7558,1018829.102,1252153.91
3000247,Directional,,Other,,,,E,Good,,Other,,GREGORY ST,0,10,0,,8848,1838,389,1021511.375,1251283.726
3000248,Directional,,Other,,,,S,Good,,Other,,MAIN ST,0,10,0,,8848,1839,411,1016866.546,1257695.574
3000250,Regulatory,,WHT,,,,E,Good,,Aluminum,HIP,nptsos,86,18,12,2018,13119,1841,5147,1018873.808,1251370.532
3000251,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,86,18,12,2024,11190,1843,7508,1019591.851,1249767.536
3000253,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,52,18,12,2024,10926,1844,6292,1019591.851,1249767.536
3000255,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,79,18,12,2024,9021,1846,7647,1019591.851,1249767.536
3000256,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,79,18,12,2024,15659,1848,5745,1016870.779,1254557.559
3000257,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,np2t6taz,79,18,12,2024,11124,1849,5422,1019540.236,1249811.086
3000259,Regulatory,One Way,Other,White,Black,R6-1L,N,Good,Rectangle,Other,,ONE WAY ENCLOSED IN LEFT ARROW,0,36,12,,11539,1850,4175,1022151.849,1255522.08
3000260,Regulatory,One Way,Other,White,Black,R6-1R,S,Fair,Rectangle,Other,,ONE WAY ENCLOSED IN RIGHT ARROW,0,36,12,,11539,1851,4194,1017032.197,1254750.419
3000261,Regulatory,Traffic Flow,WHT,Red,White,R1-1,N,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2024,10219,1852,3238,1014772.754,1256676.542
3000262,Regulatory,,WHT,,,,N,Good,,Aluminum,HIP,aw,72,6,18,2024,10219,1853,3517,1013960.198,1257803.661
3000267,Regulatory,Selective Exclusion,WHT,Red,White,R5-1,N,Fair,Square,Aluminum,HIP,DO NOT ENTER,0,30,30,2024,16128,1856,4160,1019562.608,1250692.412
3000269,Regulatory,Traffic Flow,WHT,Red,White,R1-1,S,Good,Octagon,Aluminum,HIP,STOP,0,30,30,2017,16128,1855,2282,1030541.288,1244513.033
3000281,Informational,Bicycle Traffic,Other,Green,White,D1-1c,W,Good,Rectangle,Other,,BICYCLE DESTINATION AND ARROW AND DISTANCE (1 LINE),0,0,6,,12982,1864,222,1023306.998,1246073.126
3000284,Regulatory,One Way,WHT,White,Black,R6-2L,N,Good,Rectangle,Aluminum,HIP,ONE WAY LEFT,0,24,30,2027,15301,1871,4202,1021627.602,1249431.227
